episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1742692731-target385346042-obs508546690-g5-T1,3,1742692731,385346042,508546690,183930185,6,19,5.0,5,1,5,13,13,True,31,31.0,0,0,509.0229999999999,11,10,3.605551275463989
map1742692731-target385346042-obs508546690-g5-T2,3,1742692731,385346042,508546690,183930185,6,19,5.0,5,2,25,13,13,True,31,31.0,0,0,654.1296,11,10,3.605551275463989
map1742692731-target385346042-obs508546690-g5-T3,3,1742692731,385346042,508546690,183930185,6,19,5.0,5,3,125,13,13,True,31,31.0,0,0,21217.347,11,10,3.605551275463989
map1742692731-target385346042-obs508546690-g10-T1,3,1742692731,385346042,508546690,183930185,6,19,5.0,10,1,5,13,13,True,30,30.0,0,0,1687.3409,10,12,3.1622776601683795
map1742692731-target385346042-obs508546690-g10-T2,3,1742692731,385346042,508546690,183930185,6,19,5.0,10,2,25,13,13,True,31,31.0,0,0,2274.1539000000007,10,13,3.0
map1742692731-target385346042-obs508546690-g10-T3,3,1742692731,385346042,508546690,183930185,6,19,5.0,10,3,125,13,13,True,31,31.0,0,0,27795.002399999998,10,15,3.605551275463989
map1742692731-target385346042-obs508546690-g20-T1,3,1742692731,385346042,508546690,183930185,6,19,5.0,20,1,5,13,13,True,33,33.0,0,0,8705.039100000004,10,11,3.605551275463989
map1742692731-target385346042-obs508546690-g20-T2,3,1742692731,385346042,508546690,183930185,6,19,5.0,20,2,25,13,13,True,32,32.0,0,0,12054.4326,9,13,4.0
map1742692731-target385346042-obs508546690-g20-T3,3,1742692731,385346042,508546690,183930185,6,19,5.0,20,3,125,13,13,True,30,30.0,0,0,16999.648999999998,9,13,4.0
map1560023974-target1892783321-obs1098067557-g2-T1,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,2,1,5,18,8,False,50,177.5,1,45,283.04459999999995,2,0,17.88854381999832
map1560023974-target1892783321-obs1098067557-g2-T2,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,2,2,25,18,8,False,50,177.5,1,45,713.1049000000002,2,0,17.88854381999832
map1560023974-target1892783321-obs1098067557-g2-T3,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,2,3,125,18,8,False,50,155.0,1,0,5227.0541,6,13,13.0
map1560023974-target1892783321-obs1098067557-g5-T1,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,5,1,5,18,8,True,28,28.0,0,0,431.47619999999995,15,14,6.708203932499369
map1560023974-target1892783321-obs1098067557-g5-T2,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,5,2,25,18,8,True,34,44.0,2,0,734.5624999999999,15,12,5.0
map1560023974-target1892783321-obs1098067557-g5-T3,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,5,3,125,18,8,True,26,31.0,1,0,17689.0784,15,13,5.830951894845301
map1560023974-target1892783321-obs1098067557-g10-T1,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,10,1,5,18,8,True,25,30.0,1,0,1428.4054,14,13,6.4031242374328485
map1560023974-target1892783321-obs1098067557-g10-T2,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,10,2,25,18,8,True,25,30.0,1,0,1687.0566000000001,14,13,6.4031242374328485
map1560023974-target1892783321-obs1098067557-g10-T3,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,10,3,125,18,8,True,25,30.0,1,0,22515.924300000002,14,13,6.4031242374328485
map1560023974-target1892783321-obs1098067557-g20-T1,4,1560023974,1892783321,1098067557,2025197564,2,2,7.0,20,1,5,18,8,True,33,48.0,3,0,8842.671499999999,18,15,7.0
