episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,decision,x,y,target_x,target_y,observation,next_observation,next_x,next_y,selected_action,state_ms,policy_ms,action_ms,total_ms,cumulative_inference_ms,state_vfe,target_belief_entropy,selected_policy,selected_policy_posterior,selected_policy_efe,false_find,collision,success
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,24,5,5,16,1,"[5, 5, 0, 0, 0]","[5, 4, 0, 0, 0]",5,4,DOWN,1.6061,0.7988,0.04,2.4449,63.095699999999994,0.060608121952731214,0.6930881056726984,1,0.249999615987318,-15.684741274809147,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,25,5,4,16,1,"[5, 4, 0, 0, 0]","[5, 3, 0, 0, 0]",5,3,DOWN,1.6161,0.8041,0.0395,2.4597,65.55539999999999,0.0606081219527311,0.6930881056726983,1,0.249999615987318,-15.684741274809147,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,26,5,3,16,1,"[5, 3, 0, 0, 0]","[5, 2, 0, 0, 0]",5,2,DOWN,1.7322,0.7945,0.0412,2.5679,68.12329999999999,0.06060812195273037,0.6930881056726984,2,0.24999961598731868,-15.684741274809145,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,27,5,2,16,1,"[5, 2, 0, 0, 0]","[5, 1, 0, 0, 0]",5,1,DOWN,1.5844,0.7814,0.0401,2.4059,70.52919999999999,0.06060812195272975,0.6930881056726984,1,0.24999961598731824,-15.684741274809145,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,28,5,1,16,1,"[5, 1, 0, 0, 0]","[5, 0, 1, 0, 0]",5,0,DOWN,1.6015,0.8742,0.0438,2.5195,73.04869999999998,0.06060812195272915,0.6930881056726984,2,0.2499996159873189,-15.684741274809145,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,29,5,0,16,1,"[5, 0, 1, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6469,0.8001,0.0411,2.4881,75.53679999999999,11.736069016284574,0.6930881056727771,2,0.2499996159873198,-15.68474127480914,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,30,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.5987,0.7987,0.0391,2.4365,77.97329999999998,0.060608121952716434,0.6930881056727388,2,0.24999961598731957,-15.684741274809143,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,31,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 1, 0, 0]",5,0,DOWN,1.6147,0.788,0.0397,2.4424,80.41569999999999,0.0606081219527151,0.6930881056727183,2,0.24999961598731957,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,32,5,0,16,1,"[5, 0, 1, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.7902,0.8207,0.0432,2.6541,83.06979999999999,11.736069016284471,0.6930881056732154,2,0.24999961598732312,-15.684741274809108,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,33,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6016,0.7904,0.0409,2.4329,85.50269999999999,0.060608121952732394,0.6930881056729739,2,0.24999961598732157,-15.684741274809127,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,34,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6101,0.8212,0.0474,2.4787000000000003,87.9814,0.06060812195272351,0.6930881056728442,2,0.24999961598732023,-15.684741274809136,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,35,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.5895,0.8128,0.0406,2.4429,90.42429999999999,0.06060812195271872,0.6930881056727748,2,0.2499996159873198,-15.68474127480914,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,36,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6354,0.7833,0.0412,2.4598999999999998,92.88419999999999,0.06060812195271639,0.6930881056727376,2,0.24999961598731957,-15.684741274809143,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,37,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.5939,0.9912,0.0689,2.6540000000000004,95.53819999999999,0.060608121952714956,0.6930881056727176,2,0.24999961598731957,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,38,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 1, 0, 0]",5,0,DOWN,1.6124,0.795,0.0412,2.4486,97.98679999999999,0.060608121952714464,0.693088105672707,2,0.24999961598731957,-15.684741274809147,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,39,5,0,16,1,"[5, 0, 1, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.5992,0.7858,0.0408,2.4257999999999997,100.41259999999998,11.736069016284532,0.6930881056729663,2,0.24999961598732112,-15.684741274809127,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,40,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.596,0.7974,0.0406,2.434,102.84659999999998,0.060608121952723124,0.6930881056728402,2,0.24999961598732023,-15.684741274809136,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,41,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6088,0.7893,0.0398,2.4379,105.28449999999998,0.06060812195271862,0.6930881056727727,2,0.2499996159873198,-15.68474127480914,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,42,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6109,0.839,0.0403,2.4901999999999997,107.77469999999998,0.06060812195271635,0.6930881056727364,2,0.24999961598732,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,43,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.675,0.8952,0.0515,2.6216999999999997,110.39639999999999,0.06060812195271494,0.693088105672717,2,0.24999961598731957,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,44,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.8504,0.9183,0.057,2.8257,113.22209999999998,0.060608121952714276,0.6930881056727067,2,0.24999961598731957,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,45,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6756,0.8383,0.0461,2.56,115.78209999999999,0.06060812195271401,0.6930881056727012,2,0.2499996159873198,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,46,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6776,1.0102,0.0593,2.7471,118.52919999999999,0.060608121952713874,0.6930881056726985,2,0.2499996159873198,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,47,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.7756,0.8515,0.0436,2.6707,121.19989999999999,0.06060812195271382,0.6930881056726985,2,0.2499996159873198,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,48,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6856,0.8243,0.1093,2.6192,123.81909999999999,0.06060812195271382,0.6930881056726985,2,0.2499996159873198,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,49,5,0,16,1,"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",5,0,DOWN,1.6788,0.8216,0.042,2.5423999999999998,126.36149999999999,0.06060812195271382,0.6930881056726985,2,0.2499996159873198,-15.684741274809145,False,True,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,0,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 10, 0, 0, 0]",4,10,DOWN,1.7617,4.6362,0.0518,6.4497,6.4497,0.6584010683803717,1.3007363017982139,6,0.06947460820807208,-30.953362981325306,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,1,4,10,16,1,"[4, 10, 0, 0, 0]","[4, 9, 0, 0, 0]",4,9,DOWN,1.6904,4.2391,0.0534,5.982899999999999,12.432599999999999,0.5078498144181585,1.208709311070911,6,0.07723234042879956,-30.8575609866698,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,2,4,9,16,1,"[4, 9, 0, 0, 0]","[4, 8, 0, 0, 0]",4,8,DOWN,1.7038,4.2669,0.0751,6.0458,18.4784,0.3734719783584772,1.0483828387962175,6,0.0672515280259994,-31.084963726578323,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,3,4,8,16,1,"[4, 8, 0, 0, 0]","[4, 9, 1, 0, 0]",4,9,UP,1.6622,4.2146,0.0434,5.9201999999999995,24.398600000000002,0.15659172372822264,0.9117487231481087,12,0.06456684079927462,-31.2817347219582,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,4,4,9,16,1,"[4, 9, 1, 0, 0]","[4, 8, 0, 0, 0]",4,8,DOWN,1.6661,4.2142,0.0475,5.9278,30.326400000000003,8.435102040022633,1.360162100529783,6,0.07599945118502555,-30.77997209533346,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,5,4,8,16,1,"[4, 8, 0, 0, 0]","[4, 9, 0, 0, 0]",4,9,UP,1.7166,4.1982,0.042,5.956799999999999,36.2832,0.3964799811603518,1.1906751014687578,12,0.06821767009590209,-31.131919732406274,False,False,False
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,6,4,9,16,1,"[4, 9, 0, 0, 0]","[4, 10, 0, 0, 0]",4,10,UP,1.705,4.2331,0.0425,5.980600000000001,42.2638,0.31349843511419845,1.1383002977910182,12,0.08311121437239205,-30.92189219354635,False,False,False
